cds,schoolname,districtname,countyname,charter_flag,math_status,english_status,combined_status,status_level,ReportingYear
50710846052534,Gratton Elementary,Gratton Elementary,Stanislaus,,50.0,28.0,78.0,5,2018
19734606023352,Castle Rock Elementary,Walnut Valley Unified,Los Angeles,,41.3,36.6,77.9,5,2018
31669100102806,Blue Oaks Elementary,Roseville City Elementary,Placer,,35.7,42.1,77.8,5,2018
01612590114363,American Indian Public Charter II,Oakland Unified,Alameda,Y,46.7,31.0,77.7,5,2018
07618126005235,Walnut Creek Intermediate,Walnut Creek Elementary,Contra Costa,,35.1,42.6,77.7,5,2018
37683386039903,Loma Portal Elementary,San Diego Unified,San Diego,,36.3,41.3,77.6,5,2018
43693776093033,Sierramont Middle,Berryessa Union Elementary,Santa Clara,,35.3,42.1,77.4,5,2018
43695006047369,Loma Prieta Elementary,Loma Prieta Joint Union Elementary,Santa Clara,,37.4,39.8,77.2,5,2018
30736436118764,Ladera Elementary,Tustin Unified,Orange,,39.6,37.4,77.0,5,2018
30736500135137,Eastwood Elementary,Irvine Unified,Orange,,38.0,39.0,77.0,5,2018
01612006001259,Emma C. Smith Elementary,Livermore Valley Joint Unified,Alameda,,38.0,38.7,76.7,5,2018
41688826043574,McKinley Elementary,Burlingame Elementary,San Mateo,,40.7,35.4,76.1,5,2018
31668520127902,Squaw Valley Preparatory,Newcastle Elementary,Placer,Y,25.8,50.0,75.8,5,2018
37683386039713,Hardy Elementary,San Diego Unified,San Diego,,37.0,38.0,75.0,5,2018
19650606023220,Riviera Elementary,Torrance Unified,Los Angeles,,37.1,36.6,73.7,5,2018
07618126005193,Parkmead Elementary,Walnut Creek Elementary,Contra Costa,,36.2,37.2,73.4,5,2018
19650606023287,Victor Elementary,Torrance Unified,Los Angeles,,39.2,33.8,73.0,5,2018
01612596113807,American Indian Public Charter,Oakland Unified,Alameda,Y,55.5,17.4,72.9,5,2018
43696416048250,Escondido Elementary,Palo Alto Unified,Santa Clara,,35.2,37.7,72.9,5,2018
38684786040695,Alamo Elementary,San Francisco Unified,San Francisco,,39.2,33.0,72.2,5,2018
30666476030936,Mabel M. Paine Elementary,Placentia-Yorba Linda Unified,Orange,,37.6,34.4,72.0,5,2018
07618046089130,Twin Creeks Elementary,San Ramon Valley Unified,Contra Costa,,35.8,35.2,71.0,5,2018
19650606023006,Joseph Arnold Elementary,Torrance Unified,Los Angeles,,40.7,29.5,70.2,5,2018
38684786041131,Yick Wo Elementary,San Francisco Unified,San Francisco,,35.5,34.2,69.7,5,2018
38684786041271,Ortega (Jose) Elementary,San Francisco Unified,San Francisco,,39.1,30.6,69.7,5,2018
43694500123299,Rocketship Mosaic Elementary,Franklin-McKinley Elementary,Santa Clara,Y,41.4,27.8,69.2,5,2018
43694196046965,Manuel De Vargas Elementary,Cupertino Union,Santa Clara,,36.0,32.7,68.7,5,2018
37682966109326,Turtleback Elementary,Poway Unified,San Diego,,35.3,33.3,68.6,5,2018
07618046071039,Walt Disney Elementary,San Ramon Valley Unified,Contra Costa,,35.6,32.3,67.9,5,2018
38684786041230,Jefferson Elementary,San Francisco Unified,San Francisco,,35.2,31.4,66.6,5,2018
40688096110621,Monarch Grove Elementary,San Luis Coastal Unified,San Luis Obispo,,37.5,29.1,66.6,5,2018
19647330127670,KIPP Iluminar Academy,Los Angeles Unified,Los Angeles,Y,36.9,29.4,66.3,5,2018
19650526022941,La Rosa Elementary,Temple City Unified,Los Angeles,,40.3,22.6,62.9,5,2018
43696740133363,Central Park Elementary,Santa Clara Unified,Santa Clara,,44.8,17.4,62.2,5,2018
19650526022925,Cloverly Elementary,Temple City Unified,Los Angeles,,35.3,25.2,60.5,5,2018
45699894533600,Fall River Junior-Senior High,Fall River Joint Unified,Shasta,,25.6,34.1,59.7,5,2018
43693690106633,KIPP Heartwood Academy,Alum Rock Union Elementary,Santa Clara,Y,38.3,18.1,56.4,5,2018
